node,model,press,response
Precipitation,QNM,warming,0
PrimaryProduction,QNM,warming,0.99
Profits,QNM,warming,0.44
ProtectedSpecies,QNM,warming,0.92
RecreationalGroundfishFishery,QNM,warming,0
Seafood,QNM,warming,0.57
SourceWaterProportions,QNM,warming,0
Stratification,QNM,warming,1
SurfaceSalinity,QNM,warming,0
SurfaceTemperature,QNM,warming,0
TidalForcing,QNM,warming,0
Winds,QNM,warming,0
AirTemperature,QNM,trawl,0
Benthos,QNM,trawl,0
BottomSalinity,QNM,trawl,0
BottomTemperature,QNM,trawl,0
CommercialGroundfishFishery,QNM,trawl,0.98
CommercialPelagicFishery,QNM,trawl,0.88
CommercialShellfishFishery,QNM,trawl,0.21
CopepodsMicronekton,QNM,trawl,0
DetritusBacteria,QNM,trawl,0
Employment,QNM,trawl,0.86
FishedInvertebrates,QNM,trawl,0.78
ForageFish,QNM,trawl,0.88
GelatinousZooplankton,QNM,trawl,0
Groundfish,QNM,trawl,0.05
HabitatNearshore,QNM,trawl,0
HabitatPelagic,QNM,trawl,0
HabitatSeafloorDemersal,QNM,trawl,0.05
MidAtlanticGroundfish,QNM,trawl,0
Precipitation,QNM,trawl,0
PrimaryProduction,QNM,trawl,0
Profits,QNM,trawl,0.87
ProtectedSpecies,QNM,trawl,0.05
RecreationalGroundfishFishery,QNM,trawl,0
Seafood,QNM,trawl,0.81
SourceWaterProportions,QNM,trawl,0
Stratification,QNM,trawl,0
SurfaceSalinity,QNM,trawl,0
SurfaceTemperature,QNM,trawl,0
TidalForcing,QNM,trawl,0
Winds,QNM,trawl,0
AirTemperature,QNM,tw,0
Benthos,QNM,tw,0.99
BottomSalinity,QNM,tw,0
BottomTemperature,QNM,tw,1
CommercialGroundfishFishery,QNM,tw,0.5
CommercialPelagicFishery,QNM,tw,0.33
CommercialShellfishFishery,QNM,tw,0.71
CopepodsMicronekton,QNM,tw,0.99
DetritusBacteria,QNM,tw,0
Employment,QNM,tw,0.51
FishedInvertebrates,QNM,tw,0.33
ForageFish,QNM,tw,0.33
GelatinousZooplankton,QNM,tw,0
Groundfish,QNM,tw,0.86
HabitatNearshore,QNM,tw,1
HabitatPelagic,QNM,tw,0.99
HabitatSeafloorDemersal,QNM,tw,0.53
MidAtlanticGroundfish,QNM,tw,0
Precipitation,QNM,tw,0
PrimaryProduction,QNM,tw,1
Profits,QNM,tw,0.51
ProtectedSpecies,QNM,tw,0.86
RecreationalGroundfishFishery,QNM,tw,0
Seafood,QNM,tw,0.62
SourceWaterProportions,QNM,tw,0
Stratification,QNM,tw,1
SurfaceSalinity,QNM,tw,0
SurfaceTemperature,QNM,tw,0
TidalForcing,QNM,tw,0
Winds,QNM,tw,0
