,Temperature,Nutrients,Sediment,Tropical.Storms,Sea.Level.Rise,Invasive.Species,Storm.Surge,Flooding,Erosion,Oil.Spills,Oysters,Wetlands,Submerged.Aquatic.Vegetation,Open.Water.Water.Column,Protected.Species.Resources,Navigable.Waterways,Shellfish.Lower.Trophic,Fish,Birds,Other.Animals,Community.Infrastructure,Farm.Land,Habitable.Land,Oil.Gas,Fishing,Hunting,Recreation,Tourism,Subsistence,Farming,Jobs,Population.Displacement,HS.BMN.Stress,CHS.Local.Sense,Housing
Oysters,0,0,0,0,0,0,-0.54,0,-0.41,0,0,0,0,0,0.37,0,0.44,0.54,0.46,0.33,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.67,0
Wetlands,0,-0.44,0.48,0,0,0,-0.54,-0.56,-0.5,0,0,0,0,-0.33,0.5,0,0.63,0.63,0.73,0.59,0,0,0,0,0.57,0.6,0,0.53,0,0,0,0,0,0.7,0
Submerged Aquatic Vegetation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.63,0.42,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Water/Water Column,0,0,0,0,0,0,0,0,0,0,0,-0.53,0.33,0,0.33,0,0.26,0.33,0.33,0.07,0,0,0,0,0.6,0,0.53,0.4,0,0,0,0,0,0.2,0
Protected Species/Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0.63,0
Navigable Waterways,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.44,0,0,0,0.59,0,0,0,0
Shellfish/Lower Trophic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.7,0.7,0.5,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0
Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,-0.44,0,0.57,0.44,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0
Birds,0,0,0,0,0,0,0,0,0,0,-0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.64,0,0,0,0,0,0,0
Other Animals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0.5,0,0,0,0,0,0,0
Community Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.33,0,0.46,0,0.52,0.56,0,0,0.56,-0.52,0,0,0
Farm Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0
Habitable Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0,0,0.57
Oil&Gas,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0.45,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.5,0.37,0
Fishing,0,0,0,0,0,0,0,0,0,0,-0.71,0,0,0,0,0,-0.71,-0.71,0,-0.55,0,0,0,0,0,0,0.67,0.6,0.63,0,0.53,0,0,0.67,0
Hunting,0,0,0,0,0,-0.19,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,-0.55,0,0,0,0,0,0,0.6,0.57,0.6,0,0,0,0,0.6,0
Recreation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566,0,0.64,0.47,0
Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.47,0
Subsistence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.73,0
Farming,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.47,0,0.6,0.47,0
Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64,0.77,0,0.25
Population Displacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.73,0.46
HS.BMN.Stress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47,0,0,0
CHS.Local.Sense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,-0.4,-0.36,0,0
Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,-0.64,0.64,0,0
